Fecha reserva,Hora reserva,Nº personas,Estado reserva,Servicio,Canal,Comensal ref
04/06/2025,19:00,5,cancelada,comida,telefono,Cliente 0
23/03/2026,21:30,3,completada,comida,web,Cliente 1
28/12/2025,20:00,4,cancelada,cena,telefono,Cliente 2
16/03/2026,14:00,1,cancelada,cena,walkin,Cliente 3
03/09/2025,16:45,8,confirmada,cena,telefono,Cliente 4
26/06/2025,17:30,4,cancelada,cena,web,Cliente 5
07/11/2025,23:00,3,no_show,cena,telefono,Cliente 6
07/01/2025,13:45,3,no_show,comida,walkin,Cliente 7
22/05/2025,15:00,2,confirmada,cena,telefono,Cliente 8
23/11/2025,20:15,4,completada,comida,walkin,Cliente 9
24/04/2026,18:15,4,cancelada,comida,web,Cliente 10
18/11/2025,23:15,8,confirmada,cena,app,Cliente 11
03/06/2026,13:15,6,no_show,comida,telefono,Cliente 12
04/04/2026,13:45,6,cancelada,cena,telefono,Cliente 13
10/03/2025,21:30,6,confirmada,cena,app,Cliente 14
16/03/2026,13:15,7,confirmada,cena,web,Cliente 15
22/01/2025,15:00,8,completada,comida,app,Cliente 16
21/02/2026,21:00,7,completada,cena,web,Cliente 17
05/04/2026,13:15,7,confirmada,cena,telefono,Cliente 18
03/04/2026,13:30,6,no_show,comida,walkin,Cliente 19
13/06/2026,19:30,1,cancelada,comida,walkin,Cliente 20
18/10/2025,20:15,8,confirmada,cena,telefono,Cliente 21
18/11/2025,16:30,5,completada,cena,web,Cliente 22
02/08/2025,23:45,6,no_show,comida,walkin,Cliente 23
02/10/2025,20:15,3,completada,cena,app,Cliente 24
04/03/2026,18:30,6,confirmada,comida,walkin,Cliente 25
27/08/2025,23:00,6,completada,cena,walkin,Cliente 26
17/06/2026,19:15,2,no_show,comida,web,Cliente 27
16/03/2026,23:30,2,completada,cena,walkin,Cliente 28
08/01/2026,13:45,7,confirmada,comida,web,Cliente 29
15/10/2025,19:00,8,no_show,comida,telefono,Cliente 30
11/01/2025,20:00,4,completada,cena,walkin,Cliente 31
12/10/2025,23:15,1,completada,cena,walkin,Cliente 32
03/05/2026,21:45,5,confirmada,comida,app,Cliente 33
21/05/2025,19:00,1,completada,cena,walkin,Cliente 34
18/03/2025,16:45,6,no_show,cena,walkin,Cliente 35
20/03/2025,20:00,7,cancelada,cena,walkin,Cliente 36
14/10/2025,15:00,6,confirmada,comida,app,Cliente 37
20/01/2025,15:00,4,no_show,comida,walkin,Cliente 38
08/06/2025,21:00,4,confirmada,comida,walkin,Cliente 39
12/03/2025,22:15,7,no_show,cena,web,Cliente 40
02/11/2025,23:45,6,confirmada,comida,telefono,Cliente 41
22/12/2025,16:15,8,cancelada,comida,app,Cliente 42
20/06/2026,16:45,4,no_show,comida,app,Cliente 43
02/07/2025,22:45,7,completada,cena,app,Cliente 44
01/06/2026,21:00,4,confirmada,cena,web,Cliente 45
07/04/2025,21:00,3,cancelada,cena,app,Cliente 46
23/01/2026,22:30,1,completada,cena,telefono,Cliente 47
19/08/2025,14:15,2,confirmada,cena,telefono,Cliente 48
23/05/2026,17:15,3,no_show,cena,walkin,Cliente 49
08/12/2025,20:30,6,cancelada,comida,telefono,Cliente 50
24/10/2025,14:00,5,no_show,cena,telefono,Cliente 51
25/05/2025,18:15,7,confirmada,cena,telefono,Cliente 52
08/04/2026,15:30,7,completada,comida,walkin,Cliente 53
20/09/2025,19:30,1,cancelada,comida,walkin,Cliente 54
02/03/2025,21:00,5,no_show,cena,web,Cliente 55
06/03/2026,18:30,3,no_show,comida,telefono,Cliente 56
07/05/2026,20:30,1,cancelada,cena,walkin,Cliente 57
24/01/2026,16:30,4,no_show,comida,walkin,Cliente 58
12/03/2025,20:30,2,completada,comida,telefono,Cliente 59
04/07/2025,21:15,3,cancelada,cena,walkin,Cliente 60
19/06/2026,20:00,5,confirmada,comida,app,Cliente 61
27/10/2025,15:15,8,completada,cena,web,Cliente 62
07/03/2025,14:00,5,cancelada,comida,app,Cliente 63
12/01/2026,15:30,6,completada,cena,web,Cliente 64
22/05/2026,21:15,2,no_show,cena,telefono,Cliente 65
17/02/2025,14:00,8,completada,cena,walkin,Cliente 66
17/12/2025,20:45,3,completada,cena,walkin,Cliente 67
24/04/2026,19:00,7,no_show,comida,web,Cliente 68
23/08/2025,14:30,1,confirmada,comida,walkin,Cliente 69
30/07/2025,22:15,5,confirmada,comida,walkin,Cliente 70
15/06/2026,14:45,2,confirmada,comida,app,Cliente 71
19/05/2025,13:00,3,confirmada,comida,walkin,Cliente 72
01/10/2025,16:30,4,confirmada,cena,telefono,Cliente 73
19/09/2025,22:30,7,confirmada,cena,web,Cliente 74
27/04/2026,14:00,2,no_show,cena,walkin,Cliente 75
05/09/2025,17:00,5,completada,cena,web,Cliente 76
23/04/2026,13:00,6,completada,cena,app,Cliente 77
14/02/2025,21:30,2,confirmada,comida,app,Cliente 78
27/12/2025,18:15,8,completada,comida,walkin,Cliente 79
05/03/2026,16:30,5,confirmada,comida,web,Cliente 80
02/06/2025,17:45,3,cancelada,comida,telefono,Cliente 81
17/09/2025,16:30,2,confirmada,comida,web,Cliente 82
15/07/2025,13:15,7,completada,cena,walkin,Cliente 83
02/05/2025,18:00,5,confirmada,cena,app,Cliente 84
03/02/2026,19:30,2,confirmada,comida,walkin,Cliente 85
28/01/2025,23:00,1,cancelada,comida,web,Cliente 86
22/06/2026,14:00,5,confirmada,cena,walkin,Cliente 87
11/04/2026,15:30,5,completada,cena,app,Cliente 88
17/02/2026,20:30,2,cancelada,comida,telefono,Cliente 89
24/05/2025,21:15,5,completada,comida,app,Cliente 90
19/01/2026,21:30,7,cancelada,comida,app,Cliente 91
01/12/2025,20:00,2,completada,comida,app,Cliente 92
21/10/2025,20:45,4,confirmada,cena,walkin,Cliente 93
23/12/2025,19:30,5,no_show,comida,web,Cliente 94
07/09/2025,23:30,8,cancelada,cena,telefono,Cliente 95
20/07/2025,19:00,3,cancelada,cena,telefono,Cliente 96
20/03/2026,17:00,5,confirmada,cena,telefono,Cliente 97
16/02/2026,23:00,6,confirmada,cena,telefono,Cliente 98
02/07/2025,16:00,4,cancelada,comida,web,Cliente 99
02/04/2025,23:45,5,no_show,cena,telefono,Cliente 100
23/04/2025,22:30,1,cancelada,comida,web,Cliente 101
09/06/2025,21:15,7,confirmada,cena,walkin,Cliente 102
