fecha,temp_media,temp_max,temp_min,lluvia_mm,viento_kmh
2025-01-01,14.7,11.7,1.3,0.0,29.0
2025-01-02,5.8,15.3,3.7,0.2,17.1
2025-01-03,10.7,18.8,4.6,3.1,16.4
2025-01-04,2.5,17.0,5.1,7.6,15.3
2025-01-05,12.5,11.4,-0.4,2.0,11.4
2025-01-06,4.6,19.6,1.4,1.2,36.0
2025-01-07,3.7,18.5,2.6,0.5,25.5
2025-01-08,10.8,19.7,2.9,0.3,14.8
2025-01-09,7.1,14.0,2.1,3.2,14.9
2025-01-10,7.7,19.3,0.3,1.8,18.1
2025-01-11,7.6,13.8,3.4,0.3,37.2
2025-01-12,6.2,14.0,6.2,2.5,37.1
2025-01-13,2.9,11.9,-1.5,3.5,28.6
2025-01-14,3.5,10.2,2.8,1.4,8.1
2025-01-15,2.2,13.4,5.6,1.0,28.7
2025-01-16,2.0,17.6,5.3,1.2,9.0
2025-01-17,2.2,13.6,2.5,0.5,38.1
2025-01-18,2.6,12.6,-1.8,0.8,36.7
2025-01-19,5.6,14.4,5.0,2.4,31.7
2025-01-20,3.8,13.4,2.3,0.3,8.0
2025-01-21,3.5,18.2,0.5,1.1,21.3
2025-01-22,9.6,15.3,5.8,0.5,33.4
2025-01-23,14.2,10.0,2.4,0.6,6.6
2025-01-24,13.8,11.3,1.8,3.6,29.0
2025-01-25,13.5,18.6,5.7,1.6,16.4
2025-01-26,5.5,15.4,0.5,1.9,31.5
2025-01-27,4.6,11.1,4.7,0.2,12.9
2025-01-28,6.5,19.4,-0.6,0.6,20.2
2025-01-29,14.2,10.9,6.9,1.8,9.4
2025-01-30,6.4,15.9,6.8,4.2,5.2
2025-01-31,8.7,11.8,4.3,0.3,37.6
2025-02-01,7.4,14.1,1.8,0.1,6.4
2025-02-02,3.1,15.1,-1.5,0.1,34.8
2025-02-03,9.1,13.3,-1.1,1.7,29.3
2025-02-04,6.0,15.6,6.3,6.4,9.5
2025-02-05,6.5,17.1,-1.8,0.3,11.6
2025-02-06,4.1,15.7,1.9,0.5,25.3
2025-02-07,6.2,11.7,4.8,4.5,36.6
2025-02-08,7.4,18.0,0.9,1.6,38.3
2025-02-09,7.0,16.4,2.8,1.2,20.1
2025-02-10,9.6,16.6,6.6,1.9,31.7
2025-02-11,4.5,12.5,3.1,5.4,23.0
2025-02-12,5.2,11.7,6.2,1.1,39.2
