id_ticket,pdf,ruta,negocio,nif,tel,mesa,fecha,hora,base_imponible,iva_pct,iva_importe,total_factura,pago_efectivo,pago_tarjeta,n_lineas,total_lineas,diferencia
F30000,factura_30000.pdf,/data/pdfs/factura_30000.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,09/01/2026,15:27,123.12,10.0,12.31,135.43,,135.43,4,135.43,0.0
F30001,factura_30001.pdf,/data/pdfs/factura_30001.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,05/03/2026,18:55,28.95,10.0,2.9,31.849999999999998,31.849999999999998,,2,31.849999999999998,0.0
F30002,factura_30002.pdf,/data/pdfs/factura_30002.pdf,Taberna El Roble S.L.,B00998877,983 445 210,13,04/04/2026,14:21,147.06,10.0,14.71,161.77,161.77,,3,161.77,0.0
F30003,factura_30003.pdf,/data/pdfs/factura_30003.pdf,Taberna El Roble S.L.,B00998877,983 445 210,22,29/01/2026,19:38,90.07,10.0,9.01,99.08,99.08,,4,99.08,0.0
F30004,factura_30004.pdf,/data/pdfs/factura_30004.pdf,Taberna El Roble S.L.,B00998877,983 445 210,6,13/05/2026,21:30,137.47,10.0,13.75,151.22,151.22,,5,151.22,0.0
F30005,factura_30005.pdf,/data/pdfs/factura_30005.pdf,Taberna El Roble S.L.,B00998877,983 445 210,7,01/11/2025,20:27,28.0,10.0,2.8,30.8,30.8,,2,30.8,0.0
F30006,factura_30006.pdf,/data/pdfs/factura_30006.pdf,Taberna El Roble S.L.,B00998877,983 445 210,2,13/04/2026,22:38,122.72,10.0,12.27,134.99,134.99,,5,134.99,0.0
F30007,factura_30007.pdf,/data/pdfs/factura_30007.pdf,Taberna El Roble S.L.,B00998877,983 445 210,5,26/03/2026,14:17,47.54,10.0,4.75,52.29,,52.29,1,52.29,0.0
F30008,factura_30008.pdf,/data/pdfs/factura_30008.pdf,Taberna El Roble S.L.,B00998877,983 445 210,24,20/06/2026,23:21,35.01,10.0,3.5,38.51,38.51,,5,38.51,0.0
F30009,factura_30009.pdf,/data/pdfs/factura_30009.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,25/10/2025,15:09,90.48,10.0,9.05,99.53,99.53,,4,99.53,0.0
F30010,factura_30010.pdf,/data/pdfs/factura_30010.pdf,Taberna El Roble S.L.,B00998877,983 445 210,17,30/12/2025,18:53,23.25,10.0,2.33,25.58,,25.58,4,25.58,0.0
F30011,factura_30011.pdf,/data/pdfs/factura_30011.pdf,Taberna El Roble S.L.,B00998877,983 445 210,21,30/12/2025,16:21,137.21,10.0,13.72,150.93,,150.93,7,150.93,0.0
F30012,factura_30012.pdf,/data/pdfs/factura_30012.pdf,Taberna El Roble S.L.,B00998877,983 445 210,15,28/03/2026,18:33,26.72,10.0,2.67,29.39,,29.39,3,29.39,0.0
