"ID","Usuario","Ubicacion","Contribuciones","Titulo","Fecha_Visita","Tipo_Visita","Fecha_Escrita","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Restaurante","Texto_Resena"
1,"Santi P","Pozuelo de Alarcón, España",106,"Muy bueno todo","sept 2017","Parejas","2017-09-16","Positivo","","Buena calidad, carta diferente, buena idea de negocio","","No","Genial y diferente carta y muy buena calidad de producto. Futuro de éxito para este pequeño local con una buena idea de negocio."
2,"KarolSeco","Barcelona, España",36,"Nuevo descubrimiento","sept 2017","Amigos","2017-09-07","Positivo","Tapas, raciones, vinos","Buen servicio, comida original y elaborada, sabores sorprendentes, buena selección de vinos","Local pequeño dentro, ruido/música no controlado","No","Han abierto hace muy poco, y desde el principio ha sido todo un éxito. Mezcla de buen servicio, comida original, elaborada y de unos sabores sorprendentes. Buena idea de tener tapas, raciones y platos mas grandes. Buena selección de vinos ya que no son los típicos... La única pega que pondría es que el sitio es pequeño dentro y la música o el ruido de las personas no esta controlado.Ya hemos ido varias veces, y las que nos quedan!!"
3,"Alejandro K","",9,"Me ha sorprendido...!!!","sept 2017","Amigos","2017-09-03","Positivo","","Buenísima calidad, precio ajustado","","No","Calidad no buena, buenísima....creo que marca la diferencia con el resto..!! Cierto que los precios ajustados, como han comentado en otra opinión, pero creo que si mantienen esta misma calidad, con nosotros tendrán unos clientes fijos..!! Muy recomendable...!! Gracias por hacernos disfrutar de una cena tan rica."
4,"Pilar S","Pozuelo de Alarcón, España",9,"Fenomenal","ago 2017","Amigos","2017-09-02","Positivo","Menú del mediodía, tapeo","Excelente cocina, todo riquísimo","","No","Desde su apertura, hemos ido varias veces, en pareja, con amigos, en familia, con otro grupo de amigos... y todos coincidimos, tienen una excelente cocina!!! Tanto de tapeo y picoteo como el menú de mediodía. Todo riquísimo."
5,"Lola Navarro","Pozuelo de Alarcón, España",18,"Sorprenderte","ago 2017","","2017-09-01","Positivo","Croquetas","Gran calidad, elaboración, presentación, trato cordial del personal","","No","Me sorprendió la gran calidad de sus platos la elaboración y presentación las croquetas maravillosas y todos los platos que tomamos increíblemente buenos y a destacar el trato cordial del personal Estoy deseando volver"
6,"Joserra V","Pozuelo de Alarcón, España",120,"Estupendo","ago 2017","En familia","2017-08-24","Positivo","Tapas, vinos","Gran calidad, buenos vinos","Local pequeño, se llena fácilmente","No","Es un local pequeño pero sugerente. La comida son tapas y raciones pequeñas pero de gran calidad acompañadas con buenos vinos en copas y botellas. Muy recomendable para picoteo o cena. En invierno se llenara fácilmente."
7,"usuario 13","Ontinyent, España",13,"Caro","jul 2017","Amigos","2017-08-20","Negativo","Tapas","Tapas elaboradas","Caras, hacía mucho calor dentro","No","Fuimos a picotear y a conocerlo. Tapas elaboradas y caras. Estuvinos dentro y nos salimos porque hacia mucho calor."
8,"Jose G","Pozuelo de Alarcón, España",548,"Delicioso 10","jul 2017","En familia","2017-07-22","Positivo","Ravioli de rabo, vieira, bombas con foie, croquetas de la casa","Trato excelente, sabor extraordinario","","No","Increiblemente bueno. Tomamos cuatro tapas. El ravioli de rabo extraordinario. La vieira exquisita. Las bombas con foie muy buenas y las croquetas de ls casa ricas. El trato excelente. Gracias por poner un local tan especial en Pozuelo. Seguid así y tendreis unos clientes habituales. Ya estoy esperando volver oara probar otras de vuestras creaciones."
9,"Pichonn7","Madrid, España",1,"Grandes sabores y personal de 10","jul 2017","Amigos","2017-07-24","Positivo","Vinos","Sabores y texturas originales, carta de vinos diferente, atención y profesionalidad de 10","","No","Fui por casualidad a los pocos días de abrir el restaurante y verdaderamente quedé sorprendido con la comida. La mezcla de sabores y texturas me resultó muy original y descubrí una carta de vinos completamente diferente a la que se suele encontrar en este tipo de locales. Todo el personal destaca por su atención y profesionalidad. Sin duda repetiré, uno de los grandes descubrimientos de este año!"
10,"Koko K","Madrid, España",13,"Un sitio sorprendente","jul 2017","Parejas","2017-07-19","Positivo","Vieira sobre alga","Platos sorprendentes y ricos, servicio inmejorable (Oscar), precio ajustado","","No","Es increíble, tiene unos platos sorprendente y muy ricos. Mi favorito la viera sobre alga . El servicio es inmejorable en especial Oscar que está pendiente de todo. El precio muy ajustado. Muy recomendable"
11,"RaulMez","Madrid, España",1,"Me ha encantado!!","jul 2017","Parejas","2017-07-16","Positivo","Kimuchi de mariscos en tempura, cerveza","Rápido, atentos, buena música, comida sorprendente","","No","He cenado con mi novia y me ha encantado, comimos varias tapas frias y calientes,todo muy bueno, el kimuchi de mariscos me sorprendio, mariscos sobre una hoja en tempura, muy rico. Tambien fueron muy rapido y muy atentos, la musica muy buena y la cerveza, que no la conocia, bueno todo muy bien salimos muy contentos. Volveremos"
12,"Moli1111","",1,"Espctacular!!","jul 2017","Parejas","2017-07-14","Positivo","Tapas elaboradas","Sabores especiales, cocina de mercado auténtica, personal un encanto","","No","Vivo en el barrio estuve ayer de vinos y picoteo me me quede sorprendido unas tapas elaboradas y de sabores especiales , debajo del nombre pone cocina de mercado y tenian razon si quieres sorprender a alguien ahi lo vas a conseguir . El personal un encanto"
13,"rmantoranz","Martin",9,"Un pequeño gran descubrimiento","nov 2017","En familia","2017-11-02","Positivo","Migas con cigala, ravioli de rabo de toro, patatas bravas, vinos","Cocina medida y sorprendente, servicio atento, buena selección de vinos, asequible","Local pequeño","No","Primera visita, que espero de muchas. Un pequeño local con cocina medida y sorprendente. De lo que he catado me ha fascinado todo pero destaco las migas con cigala, el ravioli de rabo de toro y las originales patatas bravas. Asequible, servicio al idem del cliente y buena selección de vinos... Volveremos, sin duda. Mucha carta que probar, se intuye alto nivel."
14,"Cigleros","",87,"Excelente!!!","oct 2017","Parejas","2017-10-28","Positivo","Ensalada de langostinos, arroz meloso, alcachofas","Servicio magnífico, atento, profesional y rápido, calidad de restaurante en formato bar de tapas, excelente relación calidad-precio","","No","Lo vimos al pasar y consultamos en TripAdvisor, buenas críticas así que decidimos probar. El servicio magnífico, atento, profesional y rápido. Todo lo que probamos muy bueno, una ensalada de langostinos riquísima, un arroz meloso perfecto, unas alcachofas perfectas,... Si una pega. Un bar de tapas con nivel de restaurante. Relación calidad-precio estupenda, muy muy adecuada. Volveremos!!"
15,"Raquel R","Comunidad de Madrid, España",54,"Agradable pero no ponen tapa con la bebida","oct 2017","En familia","2017-10-28","Mixto","","Sitio agradable, comida rica","No ponen aperitivo con la bebida, caro (4-5€ tapa mínima), sillas altas incómodas, no hay mesas bajas","No","Un sitio pequeño , agradable y con comida rica . El problema que no ponen nada con la bebida y cualquier cosa pequeña que pides son 4/5€ y de ahí para arriba . Eso sí todo rico pero creo que caro Sillas altas No hay mesas"
16,"Carlos G","Pozuelo de Alarcón, España",1819,"Una buena opción","oct 2017","Amigos","2017-10-22","Positivo","Croquetas, arroz meloso, vinos","Bien decorado, platos correctos, buenos vinos","Pequeño, no es barato, lleno de gente","No","No conocía el sitio, esta muy bien decorado pero es pequeño. Creo que es más de tapeo que para ir a cenar porque estaba lleno de gente. No es barato pero esta bien, las croquetas correctas, el arroz meloso también, etc. Todo correcto, buenos vinos, repetiremos para ver si fue casualidad"
