modelo,fold,fecha_inicio_val,fecha_fin_val,MAE,RMSE,R2,sMAPE_%
Ridge,1,2025-11-09,2025-12-16,689.3758019522097,861.0305803634724,0.5692422477108221,31.99408958468526
Ridge,2,2025-12-17,2026-01-21,677.2853584738767,835.3671937619106,0.558990253439839,26.878638813408116
Ridge,3,2026-01-22,2026-02-27,467.4268176884169,557.4423959556074,0.8627331003933436,21.014216174109695
Ridge,4,2026-02-28,2026-04-05,462.6462459674094,579.4505019608039,0.7824156890506275,19.20675547418283
Ridge,5,2026-04-07,2026-05-13,518.1200276858381,619.790305696816,0.8358456061387582,20.049422490416525
Random Forest,1,2025-11-09,2025-12-16,503.80066718750004,617.2837299722631,0.7786061206011552,21.614097203461053
Random Forest,2,2025-12-17,2026-01-21,623.68695,813.1432344231544,0.5821432116913182,22.857652632416563
Random Forest,3,2026-01-22,2026-02-27,346.7069296875012,425.0895048333775,0.9201772660144312,17.180209914022655
Random Forest,4,2026-02-28,2026-04-05,570.1574500000011,756.5726519825268,0.6290664058500892,22.43666556520301
Random Forest,5,2026-04-07,2026-05-13,605.4428859374996,763.0921543938204,0.751161869055668,20.84600784564209
Extra Trees,1,2025-11-09,2025-12-16,506.82555955976875,670.5439419163293,0.738753526780864,21.576160423397823
Extra Trees,2,2025-12-17,2026-01-21,637.3050476517235,818.8922246520592,0.5762137602471018,23.49636535778702
Extra Trees,3,2026-01-22,2026-02-27,360.3762565449414,457.5965185155885,0.907502231306327,17.25721721059449
Extra Trees,4,2026-02-28,2026-04-05,564.0309677249018,777.9675520170491,0.6077907271525553,21.92161619407437
Extra Trees,5,2026-04-07,2026-05-13,609.8828834658401,750.1545424628665,0.7595280414314233,21.907892067165015
HistGradientBoosting,1,2025-11-09,2025-12-16,1105.92603515625,1312.0406535261668,-0.00020848294908870635,42.68209225323028
HistGradientBoosting,2,2025-12-17,2026-01-21,627.938314145244,806.2047881071838,0.589243823719759,22.630273567845865
HistGradientBoosting,3,2026-01-22,2026-02-27,421.44726960815615,517.8995640842415,0.8815167593258346,19.653861740771223
HistGradientBoosting,4,2026-02-28,2026-04-05,595.7250063492729,753.8871514339344,0.6316950349290614,23.75888324888773
HistGradientBoosting,5,2026-04-07,2026-05-13,591.2534720025099,736.3872618003428,0.7682736139782322,21.30642275357238
XGBoost,1,2025-11-09,2025-12-16,571.8877041625976,698.0993175306842,0.7168409955487547,24.27913654062191
XGBoost,2,2025-12-17,2026-01-21,655.532283630371,854.2770109415686,0.5387984109733446,23.941312646939743
XGBoost,3,2026-01-22,2026-02-27,357.9167428588868,458.94290100391504,0.9069571196912576,16.724746933833117
XGBoost,4,2026-02-28,2026-04-05,567.8885917663574,750.3077261152323,0.6351841259674642,22.127474580815658
XGBoost,5,2026-04-07,2026-05-13,588.3252252197266,710.32437225392,0.7843862831880231,21.419927600367032
