modelo,fold,fecha_inicio_val,fecha_fin_val,MAE,RMSE,R2,sMAPE_%
Linear Regression,1,2025-11-09,2025-12-16,108.44004854764886,126.88812223354579,-28.405262802367037,138.54216960104978
Linear Regression,2,2025-12-17,2026-01-21,657.0425798372235,812.7710451148861,-289.33824396120286,121.26013857874153
Linear Regression,3,2026-01-22,2026-02-27,55.659739821937116,69.98788898055956,-7.0642027420338245,43.29012410821292
Linear Regression,4,2026-02-28,2026-04-05,47.328313777833685,65.5798809206284,-4.7361353825898425,48.0560878742037
Linear Regression,5,2026-04-07,2026-05-13,26.98649522342309,32.514876821057456,0.18789492834030075,28.3825859224174
Ridge,1,2025-11-09,2025-12-16,21.67860097725542,26.638472617709777,-0.2959903385588396,21.463396169129332
Ridge,2,2025-12-17,2026-01-21,42.4023104416475,60.08264419220829,-0.5865942408798022,35.75140425589179
Ridge,3,2026-01-22,2026-02-27,16.053242033191513,19.943877318268925,0.34516054654227,17.78733555549823
Ridge,4,2026-02-28,2026-04-05,15.03232229099503,19.545475365548764,0.49046899015543566,14.59382286573889
Ridge,5,2026-04-07,2026-05-13,17.00981373316007,21.487589128826343,0.6453308788371785,17.38175280907126
Lasso,1,2025-11-09,2025-12-16,32.652944258976056,39.286964252025925,-1.8189025829531973,37.13735072437803
Lasso,2,2025-12-17,2026-01-21,47.36338098170364,62.926226355972275,-0.7403282705686087,43.075933210317864
Lasso,3,2026-01-22,2026-02-27,14.619602260162164,17.83064374352415,0.47658074482494794,16.075502238211055
Lasso,4,2026-02-28,2026-04-05,13.210032822931131,17.36488945884227,0.5978184056444047,12.902069160997979
Lasso,5,2026-04-07,2026-05-13,14.986444961839496,19.22319349984201,0.7161433508936379,15.062659059192596
ElasticNet,1,2025-11-09,2025-12-16,21.48469950185681,26.40980232186947,-0.2738357268091789,21.22039595497254
ElasticNet,2,2025-12-17,2026-01-21,34.205627865261505,54.46554951189363,-0.30380180533218826,25.700366025098333
ElasticNet,3,2026-01-22,2026-02-27,17.795107172652905,21.955608908344114,0.20639093177274415,19.624240676276646
ElasticNet,4,2026-02-28,2026-04-05,18.66231060347508,22.547810115562395,0.3219107132145591,18.324064452390793
ElasticNet,5,2026-04-07,2026-05-13,22.36141556895653,28.19766827533885,0.3892346499045649,22.39038509716104
Random Forest,1,2025-11-09,2025-12-16,15.7756544829103,19.39195593483657,0.31320621659518,15.384679747436486
Random Forest,2,2025-12-17,2026-01-21,29.292995241170715,47.978504485784434,-0.011722042382759534,21.30917637827836
Random Forest,3,2026-01-22,2026-02-27,12.73277093603395,16.254827293450855,0.5650089029495522,14.225655041519492
Random Forest,4,2026-02-28,2026-04-05,16.272456324140137,20.237794201049546,0.4537335908190965,16.109959339761595
Random Forest,5,2026-04-07,2026-05-13,16.079502772282797,20.28273651024278,0.6839898047396276,16.219132761576393
Extra Trees,1,2025-11-09,2025-12-16,18.174355046151668,22.729440668475853,0.05645933672852066,17.355036596570233
Extra Trees,2,2025-12-17,2026-01-21,32.5816050182114,51.122844166849106,-0.1486767042377708,24.270455939414585
Extra Trees,3,2026-01-22,2026-02-27,13.527426987271227,16.79200518898258,0.5357832904449316,14.984466691025029
Extra Trees,4,2026-02-28,2026-04-05,13.023822954865398,16.776613656617155,0.6246064967692186,12.564696197227121
Extra Trees,5,2026-04-07,2026-05-13,16.49676590024024,20.925873000923268,0.663631617300424,16.654349696558246
Gradient Boosting,1,2025-11-09,2025-12-16,16.26705213051813,20.32314362352605,0.2456638917409002,16.086797088349098
Gradient Boosting,2,2025-12-17,2026-01-21,31.304443552308467,49.19500838484018,-0.06367726463287893,23.309155982179387
Gradient Boosting,3,2026-01-22,2026-02-27,12.793841439406904,16.02377024074089,0.5772875222872798,14.28878687713026
Gradient Boosting,4,2026-02-28,2026-04-05,15.561720289770568,19.511531681914224,0.49223720925157355,15.25071615498043
Gradient Boosting,5,2026-04-07,2026-05-13,15.788786663541782,21.143989285309573,0.6565829473122606,16.05886680976376
HistGradientBoosting,1,2025-11-09,2025-12-16,21.506096275420603,26.408837708615497,-0.27374267526942164,20.96728637708079
HistGradientBoosting,2,2025-12-17,2026-01-21,31.53685835180961,49.7002989403263,-0.08563991075431399,23.449977268708132
HistGradientBoosting,3,2026-01-22,2026-02-27,14.008741699128342,17.524993309688288,0.49437170276104636,15.55556260448297
HistGradientBoosting,4,2026-02-28,2026-04-05,14.696973140178711,20.039609767116712,0.4643801471621378,14.315640819458118
HistGradientBoosting,5,2026-04-07,2026-05-13,17.371485122306822,23.300433537108322,0.5829616438321448,17.244750310245195
XGBoost,1,2025-11-09,2025-12-16,16.490274139024876,20.049629415658902,0.2658313699091249,16.104650341862204
XGBoost,2,2025-12-17,2026-01-21,32.05295443096736,50.515648748909626,-0.12155265643523494,23.881675586767454
XGBoost,3,2026-01-22,2026-02-27,12.855806358948037,16.374583433952612,0.5585757678613198,14.064675729381337
XGBoost,4,2026-02-28,2026-04-05,16.842856481041252,21.142390462953053,0.40380775335067587,17.11921300659186
XGBoost,5,2026-04-07,2026-05-13,14.243391827636572,19.118951591875167,0.7192135515105833,14.25229311563448
