variable,importancia_permutacion,std
num_dia,0.9185100397740447,0.3263232152307025
es_fin_de_semana,0.7185374662910636,0.2679806050992079
sin_dia_semana,0.5497756866875306,0.248672731559938
facturacion_7d_antes,0.3217659713832139,0.18193082237219632
ticket_medio_7d_antes,0.25939194626893075,0.10091855385734592
dia_semana,0.24833918583459116,0.06412977240016333
ticket_medio_tendencia_7_28,0.23272359406284374,0.08485485428839731
facturacion_1d_antes,0.22820663776784086,0.13593694611296323
ticket_medio_1d_antes,0.1412089027716183,0.042736727153531856
ticket_medio_media_7d,0.13506785327417242,0.0852829339688264
ticket_mediano_1d_antes,0.10743761485707684,0.04827297646933849
ticket_medio_std_28d,0.10587783888146417,0.09295822893711359
temperature_mean,0.10197416411307104,0.12156462898634623
temperature_max,0.10104802089176168,0.09119393830625892
facturacion_media_7d,0.0730814052156519,0.1292689489989649
ticket_medio_28d_antes,0.06569386341740338,0.03160035123446024
categoria_evento,0.060705650129660844,0.08769109740369299
ticket_medio_14d_antes,0.0498118273672229,0.047641380797691465
es_dia_lluvioso,0.04891314496178231,0.019887980321485744
ticket_medio_3d_antes,0.04853207757324309,0.06544884492590289
